,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
nprocs,1.0,0.8785995834983881,0.0,0.7312479223675847,0.0,0.0,0.0,0.7760554075663454,0.7211615696190216,0.8418803414102891,0.9089823963285578,0.8587518066645742,0.7756259314567844,0.8728773204324323,0.7345135041101332,0.7932688960839488,0.735734387075377,0.5197769811114771,0.9287434230707234,0.6651304655738262,0.8883932442674207,0.8750534366973423,0.8672554175917602,0.8679444409666879,0.7476977429393779,0.7579532740311349,0.27501197308436204,0.49746242948244135,0.27501197308436204,0.8255744620199793,0.8255744620199793,0.7609438060361796,0.8482540553169102,0.7609438060361796,0.8679444409666879,0.8679444409666879,0.7609438060361796,0.6585049897427282,0.8097183977767056,0.6403012206916645,0.4856220119083674,0.8231921704863855,0.7145976619556048,0.769427849653679,0.7600192583478451,0.69145529417329
POSIX_OPENS,0.8785995834983881,1.0,0.0,0.6999041794688093,0.0,0.0,0.0,0.7820517190954598,0.7538163689159708,0.8534434757295672,0.8839446468508603,0.8384688425226661,0.7911362195150168,0.894251511916493,0.7565139932149559,0.845658810193531,0.7670757725978429,0.42755324193400096,0.9319534823318425,0.6954803998225738,0.850247823133651,0.8331058803513512,0.8282643192076421,0.788854570017345,0.7605735441151967,0.7870640593948524,0.21195495888779034,0.49968767796178165,0.21195495888779034,0.7590311566521549,0.7590311566521549,0.6946137746801361,0.7815476316031909,0.694613774680136,0.788854570017345,0.788854570017345,0.694613774680136,0.6757136019415492,0.7846344562642213,0.6388962829634268,0.4957382454592202,0.8582400097211896,0.7722927466425276,0.822878819172517,0.8002717630732545,0.6969804154351147
LUSTRE_STRIPE_SIZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUSTRE_STRIPE_WIDTH,0.7312479223675846,0.6999041794688092,0.0,1.0,0.0,0.0,0.0,0.5100937577853769,0.7117402118394561,0.692947223261244,0.700212215718758,0.737969077363814,0.7244905209183105,0.6728648951953204,0.7101601045311033,0.5029376751713935,0.704028125960105,0.13566430622639913,0.7231128518373612,0.4910620463615503,0.7043373848806196,0.6135937212793695,0.6853204892035103,0.8425054506405336,0.7034186429604932,0.6705601717347116,0.053962279422259216,0.14933146651140466,0.053962279422259216,0.8103274326836248,0.8103274326836248,0.6547467554157147,0.8496168217148689,0.6547467554157147,0.8425054506405336,0.8425054506405336,0.6547467554157147,0.7643319952507136,0.7231880193061792,0.6140969620803464,0.3553434736707495,0.6476745187943926,0.6263018409202719,0.6597182004104032,0.6559334672529947,0.6119524627495835
POSIX_FILENOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSIX_MEM_ALIGNMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSIX_FILE_ALIGNMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSIX_READS,0.7760554075663455,0.7820517190954598,0.0,0.5100937577853769,0.0,0.0,0.0,1.0,0.6550554412487221,0.8365413007134775,0.8532574261506988,0.7596267017822013,0.7113384789450282,0.8811385099518827,0.6686375652261327,0.9166317512959151,0.6704694618129305,0.1644267192856027,0.8181051854077964,0.797209062684053,0.8503738696605326,0.7932813115058956,0.779490089825862,0.6582454126820744,0.7067423421041623,0.7179719369149448,0.19833787505365555,0.2727355116856933,0.19833787505365555,0.6080605829626338,0.6080605829626338,0.73742781961137,0.636634273628024,0.7374278196113699,0.6582454126820744,0.6582454126820744,0.7374278196113699,0.5792256804207795,0.6368109291537798,0.5694893616101997,0.3280055228971502,0.7821634140826906,0.660479097340025,0.7522392175070906,0.7142467596254061,0.6351167923710385
POSIX_WRITES,0.7211615696190214,0.7538163689159708,0.0,0.7117402118394562,0.0,0.0,0.0,0.6550554412487221,1.0,0.7616712421451864,0.7532532199848931,0.7062348589537066,0.8518604396196761,0.7751009580138909,0.9663208860968684,0.7091617289025612,0.9891644651362052,0.3729973545460464,0.7310316217107576,0.7874508762719354,0.793126158705053,0.7292026074313271,0.7891995972664405,0.7651935620151199,0.8313999446170907,0.8243123515980975,0.09876239756169941,0.4179303189850362,0.09876239756169941,0.7335587779077247,0.7335587779077247,0.66490806749626,0.7574507382501706,0.66490806749626,0.7651935620151199,0.7651935620151199,0.66490806749626,0.7099734662049272,0.6739976809713408,0.6090628369143124,0.46601512661182687,0.808671642651251,0.7942646120739674,0.7530438052670264,0.7438883353588749,0.6542925484949155
POSIX_SEEKS,0.8418803414102891,0.8534434757295672,0.0,0.6929472232612441,0.0,0.0,0.0,0.8365413007134777,0.7616712421451864,1.0,0.9067624812594005,0.7959836543465805,0.795465672298179,0.8856623031650409,0.7527508529936024,0.8167187456630097,0.7534181268461724,0.3676430226012814,0.8940808486011744,0.7055618929679556,0.9078470112969688,0.8477041786293138,0.8249387805027462,0.7476806883900271,0.7470402657259996,0.7977241493178988,0.18690665509290177,0.445417493970959,0.18690665509290177,0.7048875863425296,0.7048875863425296,0.6372861233449079,0.7283902343310497,0.6372861233449079,0.7476806883900271,0.7476806883900271,0.6372861233449079,0.6661608520761148,0.7553672032576503,0.6676567478059686,0.43716453723956056,0.8579179601689492,0.7441977589609674,0.8102284357603432,0.7584627157875058,0.608635884316198
