Source,Source_Value,Target,Target_Value
Tag,0.4660896405810417,POSIX_ACCESS,
Tag,0.4660896405810417,POSIX_STRIDE,
Tag,0.4660896405810417,POSIX_SIZE,
Tag,0.4660896405810417,POSIX_OPERATIONS,
Tag,0.4660896405810417,POSIX_DATA_TRANSFERS,
Tag,0.4660896405810417,POSIX_PATTERNS,
Tag,0.4660896405810417,POSIX_ALIGNMENTS,
Tag,0.4660896405810417,POSIX_RESOURCE_UTILIZATION,
Tag,0.4660896405810417,LUSTRE_CONFIGURATION,
Tag,0.4660896405810417,GENERAL,
POSIX_ACCESS,,POSIX_ACCESS1_ACCESS,2.0863598306747484
POSIX_ACCESS,,POSIX_ACCESS2_ACCESS,1.963787827345556
POSIX_ACCESS,,POSIX_ACCESS3_ACCESS,1.8864907251724816
POSIX_ACCESS,,POSIX_ACCESS4_ACCESS,2.3344537511509307
POSIX_ACCESS,,POSIX_ACCESS1_COUNT,6.417095695530137
POSIX_ACCESS,,POSIX_ACCESS2_COUNT,5.939974773254433
POSIX_ACCESS,,POSIX_ACCESS3_COUNT,4.491179532143998
POSIX_ACCESS,,POSIX_ACCESS4_COUNT,4.228733908376136
POSIX_STRIDE,,POSIX_STRIDE1_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE2_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE3_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE4_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE1_COUNT,0.0
POSIX_STRIDE,,POSIX_STRIDE2_COUNT,0.0
POSIX_STRIDE,,POSIX_STRIDE3_COUNT,0.0
POSIX_STRIDE,,POSIX_STRIDE4_COUNT,0.0
POSIX_SIZE,,POSIX_SIZE_READ_0_100,4.5240194404102905
POSIX_SIZE,,POSIX_SIZE_READ_100_1K,4.228733908376136
POSIX_SIZE,,POSIX_SIZE_READ_1K_10K,3.6191977157929474
POSIX_SIZE,,POSIX_SIZE_READ_100K_1M,0.0
POSIX_SIZE,,POSIX_SIZE_WRITE_0_100,6.028710708771054
POSIX_SIZE,,POSIX_SIZE_WRITE_100_1K,6.420792321443366
POSIX_SIZE,,POSIX_SIZE_WRITE_1K_10K,0.0
POSIX_SIZE,,POSIX_SIZE_WRITE_10K_100K,0.0
POSIX_SIZE,,POSIX_SIZE_WRITE_100K_1M,0.0
POSIX_OPERATIONS,,POSIX_OPENS,3.550595207489328
POSIX_OPERATIONS,,POSIX_FILENOS,0.0
POSIX_OPERATIONS,,POSIX_READS,4.7365000831026265
POSIX_OPERATIONS,,POSIX_WRITES,6.568602146729283
POSIX_OPERATIONS,,POSIX_SEEKS,4.655167258709841
POSIX_OPERATIONS,,POSIX_STATS,3.550595207489328
POSIX_DATA_TRANSFERS,,POSIX_BYTES_READ,7.568804118572286
POSIX_DATA_TRANSFERS,,POSIX_BYTES_WRITTEN,8.611514470466295
POSIX_PATTERNS,,POSIX_CONSEC_READS,4.572697384982698
POSIX_PATTERNS,,POSIX_CONSEC_WRITES,6.568569427525447
POSIX_PATTERNS,,POSIX_SEQ_READS,4.572697384982698
POSIX_PATTERNS,,POSIX_SEQ_WRITES,6.568594641466702
POSIX_ALIGNMENTS,,POSIX_MEM_ALIGNMENT,0.9542425094393248
POSIX_ALIGNMENTS,,POSIX_FILE_ALIGNMENT,6.020600327454919
POSIX_ALIGNMENTS,,POSIX_MEM_NOT_ALIGNED,4.311435968289161
POSIX_ALIGNMENTS,,POSIX_FILE_NOT_ALIGNED,6.57295613043993
POSIX_RESOURCE_UTILIZATION,,POSIX_RW_SWITCHES,0.3010299956639812
LUSTRE_CONFIGURATION,,LUSTRE_STRIPE_SIZE,6.020600327454919
LUSTRE_CONFIGURATION,,LUSTRE_STRIPE_WIDTH,0.3010299956639812
GENERAL,,nprocs,1.5185139398778875
