Source,Target
Tag: 0.5424597937497075,POSIX_ACCESS
Tag: 0.5424597937497075,POSIX_STRIDE
Tag: 0.5424597937497075,POSIX_SIZE
Tag: 0.5424597937497075,POSIX_OPERATIONS
Tag: 0.5424597937497075,POSIX_DATA_TRANSFERS
Tag: 0.5424597937497075,POSIX_PATTERNS
Tag: 0.5424597937497075,POSIX_ALIGNMENTS
Tag: 0.5424597937497075,POSIX_RESOURCE_UTILIZATION
Tag: 0.5424597937497075,LUSTRE_CONFIGURATION
Tag: 0.5424597937497075,GENERAL
POSIX_ACCESS,POSIX_ACCESS1_ACCESS: 1.963787827345556
POSIX_ACCESS,POSIX_ACCESS2_ACCESS: 2.0863598306747484
POSIX_ACCESS,POSIX_ACCESS3_ACCESS: 2.3654879848909
POSIX_ACCESS,POSIX_ACCESS4_ACCESS: 1.8864907251724816
POSIX_ACCESS,POSIX_ACCESS1_COUNT: 5.651178153563667
POSIX_ACCESS,POSIX_ACCESS2_COUNT: 5.350149127528858
POSIX_ACCESS,POSIX_ACCESS3_COUNT: 4.083968197598416
POSIX_ACCESS,POSIX_ACCESS4_COUNT: 4.074779882331932
POSIX_STRIDE,POSIX_STRIDE1_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE2_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE3_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE4_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE1_COUNT: 0.0
POSIX_STRIDE,POSIX_STRIDE2_COUNT: 0.0
POSIX_STRIDE,POSIX_STRIDE3_COUNT: 0.0
POSIX_STRIDE,POSIX_STRIDE4_COUNT: 0.0
POSIX_SIZE,POSIX_SIZE_READ_0_100: 4.3768870566640485
POSIX_SIZE,POSIX_SIZE_READ_100_1K: 4.086253023817161
POSIX_SIZE,POSIX_SIZE_READ_1K_10K: 3.5991185650553628
POSIX_SIZE,POSIX_SIZE_READ_100K_1M: 0.0
POSIX_SIZE,POSIX_SIZE_WRITE_0_100: 5.686726514499836
POSIX_SIZE,POSIX_SIZE_WRITE_100_1K: 5.370903353633498
POSIX_SIZE,POSIX_SIZE_WRITE_1K_10K: 0.0
POSIX_SIZE,POSIX_SIZE_WRITE_10K_100K: 0.0
POSIX_SIZE,POSIX_SIZE_WRITE_100K_1M: 0.0
POSIX_OPERATIONS,POSIX_OPENS: 3.229937685907934
POSIX_OPERATIONS,POSIX_FILENOS: 0.0
POSIX_OPERATIONS,POSIX_READS: 4.601897100353281
POSIX_OPERATIONS,POSIX_WRITES: 5.857941890520898
POSIX_OPERATIONS,POSIX_SEEKS: 4.526041890680879
POSIX_OPERATIONS,POSIX_STATS: 3.2380461031287955
POSIX_DATA_TRANSFERS,POSIX_BYTES_READ: 7.540805773483447
POSIX_DATA_TRANSFERS,POSIX_BYTES_WRITTEN: 7.857643008496094
POSIX_PATTERNS,POSIX_CONSEC_READS: 4.441302286693167
POSIX_PATTERNS,POSIX_CONSEC_WRITES: 5.857927434096456
POSIX_PATTERNS,POSIX_SEQ_READS: 4.441805069695703
POSIX_PATTERNS,POSIX_SEQ_WRITES: 5.857933457665121
POSIX_ALIGNMENTS,POSIX_MEM_ALIGNMENT: 0.9542425094393248
POSIX_ALIGNMENTS,POSIX_FILE_ALIGNMENT: 6.020600327454919
POSIX_ALIGNMENTS,POSIX_MEM_NOT_ALIGNED: 4.191925851711436
POSIX_ALIGNMENTS,POSIX_FILE_NOT_ALIGNED: 5.874279989127245
POSIX_RESOURCE_UTILIZATION,POSIX_RW_SWITCHES: 0.3010299956639812
LUSTRE_CONFIGURATION,LUSTRE_STRIPE_SIZE: 6.020600327454919
LUSTRE_CONFIGURATION,LUSTRE_STRIPE_WIDTH: 0.3010299956639812
GENERAL,nprocs: 1.5185139398778875
