Source,Source_Value,Target,Target_Value
Tag,0.524510231132503,POSIX_ACCESS,
Tag,0.524510231132503,POSIX_STRIDE,
Tag,0.524510231132503,POSIX_SIZE,
Tag,0.524510231132503,POSIX_OPERATIONS,
Tag,0.524510231132503,POSIX_DATA_TRANSFERS,
Tag,0.524510231132503,POSIX_PATTERNS,
Tag,0.524510231132503,POSIX_ALIGNMENTS,
Tag,0.524510231132503,POSIX_RESOURCE_UTILIZATION,
Tag,0.524510231132503,LUSTRE_CONFIGURATION,
Tag,0.524510231132503,GENERAL,
POSIX_ACCESS,,POSIX_ACCESS1_ACCESS,1.963787827345556
POSIX_ACCESS,,POSIX_ACCESS2_ACCESS,2.0863598306747484
POSIX_ACCESS,,POSIX_ACCESS3_ACCESS,2.3443922736851106
POSIX_ACCESS,,POSIX_ACCESS4_ACCESS,1.8864907251724816
POSIX_ACCESS,,POSIX_ACCESS1_COUNT,5.700496902209718
POSIX_ACCESS,,POSIX_ACCESS2_COUNT,5.399467772085405
POSIX_ACCESS,,POSIX_ACCESS3_COUNT,4.104111379698969
POSIX_ACCESS,,POSIX_ACCESS4_COUNT,4.074779882331932
POSIX_STRIDE,,POSIX_STRIDE1_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE2_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE3_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE4_STRIDE,0.0
POSIX_STRIDE,,POSIX_STRIDE1_COUNT,0.0
POSIX_STRIDE,,POSIX_STRIDE2_COUNT,0.0
POSIX_STRIDE,,POSIX_STRIDE3_COUNT,0.0
POSIX_STRIDE,,POSIX_STRIDE4_COUNT,0.0
POSIX_SIZE,,POSIX_SIZE_READ_0_100,4.39747071716853
POSIX_SIZE,,POSIX_SIZE_READ_100_1K,4.108463541203595
POSIX_SIZE,,POSIX_SIZE_READ_1K_10K,3.591621038213319
POSIX_SIZE,,POSIX_SIZE_READ_100K_1M,0.0
POSIX_SIZE,,POSIX_SIZE_WRITE_0_100,5.73999614824127
POSIX_SIZE,,POSIX_SIZE_WRITE_100_1K,5.418365933397245
POSIX_SIZE,,POSIX_SIZE_WRITE_1K_10K,0.0
POSIX_SIZE,,POSIX_SIZE_WRITE_10K_100K,0.0
POSIX_SIZE,,POSIX_SIZE_WRITE_100K_1M,0.0
POSIX_OPERATIONS,,POSIX_OPENS,3.2833012287035497
POSIX_OPERATIONS,,POSIX_FILENOS,0.0
POSIX_OPERATIONS,,POSIX_READS,4.620271425439044
POSIX_OPERATIONS,,POSIX_WRITES,5.90932812530389
POSIX_OPERATIONS,,POSIX_SEEKS,4.5433353301909065
POSIX_OPERATIONS,,POSIX_STATS,3.2833012287035497
POSIX_DATA_TRANSFERS,,POSIX_BYTES_READ,7.539641480764356
POSIX_DATA_TRANSFERS,,POSIX_BYTES_WRITTEN,7.906271342405896
POSIX_PATTERNS,,POSIX_CONSEC_READS,4.4595281835834575
POSIX_PATTERNS,,POSIX_CONSEC_WRITES,5.909299227529601
POSIX_PATTERNS,,POSIX_SEQ_READS,4.4595281835834575
POSIX_PATTERNS,,POSIX_SEQ_WRITES,5.909317422648723
POSIX_ALIGNMENTS,,POSIX_MEM_ALIGNMENT,0.9542425094393248
POSIX_ALIGNMENTS,,POSIX_FILE_ALIGNMENT,6.020600327454919
POSIX_ALIGNMENTS,,POSIX_MEM_NOT_ALIGNED,4.207715133805567
POSIX_ALIGNMENTS,,POSIX_FILE_NOT_ALIGNED,5.924466405985899
POSIX_RESOURCE_UTILIZATION,,POSIX_RW_SWITCHES,0.3010299956639812
LUSTRE_CONFIGURATION,,LUSTRE_STRIPE_SIZE,6.020600327454919
LUSTRE_CONFIGURATION,,LUSTRE_STRIPE_WIDTH,0.3010299956639812
GENERAL,,nprocs,1.5185139398778875
