source,target
tag,LUSTRE_STRIPE_SIZE
LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH
tag,LUSTRE_STRIPE_WIDTH
LUSTRE_STRIPE_WIDTH,LUSTRE_STRIPE_SIZE
LUSTRE_STRIPE_WIDTH,POSIX_STRIDE3_STRIDE
LUSTRE_STRIPE_WIDTH,POSIX_STRIDE4_STRIDE
LUSTRE_STRIPE_WIDTH,POSIX_STRIDE3_COUNT
LUSTRE_STRIPE_WIDTH,POSIX_STRIDE4_COUNT
LUSTRE_STRIPE_WIDTH,POSIX_STRIDE2_COUNT
LUSTRE_STRIPE_WIDTH,POSIX_STRIDE2_STRIDE
tag,POSIX_ACCESS1_ACCESS
POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS
POSIX_ACCESS1_ACCESS,POSIX_SIZE_READ_1K_10K
POSIX_ACCESS1_ACCESS,tag
POSIX_ACCESS1_ACCESS,POSIX_STRIDE4_STRIDE
POSIX_ACCESS1_ACCESS,POSIX_READS
POSIX_ACCESS1_ACCESS,POSIX_CONSEC_READS
POSIX_ACCESS1_ACCESS,POSIX_STRIDE3_STRIDE
tag,POSIX_ACCESS1_COUNT
POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT
POSIX_ACCESS1_COUNT,POSIX_SIZE_WRITE_100_1K
POSIX_ACCESS1_COUNT,POSIX_FILE_NOT_ALIGNED
POSIX_ACCESS1_COUNT,POSIX_SEEKS
POSIX_ACCESS1_COUNT,POSIX_READS
POSIX_ACCESS1_COUNT,POSIX_SEQ_READS
POSIX_ACCESS1_COUNT,POSIX_CONSEC_READS
tag,POSIX_ACCESS2_ACCESS
POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS
POSIX_ACCESS2_ACCESS,POSIX_ACCESS1_ACCESS
POSIX_ACCESS2_ACCESS,POSIX_STRIDE3_STRIDE
POSIX_ACCESS2_ACCESS,tag
POSIX_ACCESS2_ACCESS,POSIX_STRIDE2_STRIDE
POSIX_ACCESS2_ACCESS,POSIX_SIZE_READ_100K_1M
POSIX_ACCESS2_ACCESS,POSIX_STRIDE2_COUNT
tag,POSIX_ACCESS2_COUNT
POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT
POSIX_ACCESS2_COUNT,POSIX_ACCESS4_COUNT
POSIX_ACCESS2_COUNT,POSIX_ACCESS1_COUNT
POSIX_ACCESS2_COUNT,POSIX_SIZE_WRITE_100_1K
POSIX_ACCESS2_COUNT,POSIX_FILE_NOT_ALIGNED
POSIX_ACCESS2_COUNT,POSIX_SEQ_WRITES
POSIX_ACCESS2_COUNT,POSIX_WRITES
tag,POSIX_ACCESS3_ACCESS
POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS
POSIX_ACCESS3_ACCESS,POSIX_ACCESS2_ACCESS
POSIX_ACCESS3_ACCESS,POSIX_BYTES_READ
POSIX_ACCESS3_ACCESS,nprocs
POSIX_ACCESS3_ACCESS,tag
POSIX_ACCESS3_ACCESS,POSIX_STRIDE2_STRIDE
POSIX_ACCESS3_ACCESS,POSIX_STRIDE3_STRIDE
tag,POSIX_ACCESS3_COUNT
POSIX_ACCESS3_COUNT,POSIX_ACCESS2_COUNT
POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT
POSIX_ACCESS3_COUNT,POSIX_FILE_NOT_ALIGNED
POSIX_ACCESS3_COUNT,POSIX_WRITES
POSIX_ACCESS3_COUNT,POSIX_SEQ_WRITES
POSIX_ACCESS3_COUNT,POSIX_READS
POSIX_ACCESS3_COUNT,POSIX_CONSEC_WRITES
tag,POSIX_ACCESS4_ACCESS
POSIX_ACCESS4_ACCESS,POSIX_ACCESS3_ACCESS
POSIX_ACCESS4_ACCESS,POSIX_BYTES_READ
POSIX_ACCESS4_ACCESS,POSIX_FILE_NOT_ALIGNED
POSIX_ACCESS4_ACCESS,nprocs
POSIX_ACCESS4_ACCESS,tag
POSIX_ACCESS4_ACCESS,POSIX_STRIDE2_STRIDE
POSIX_ACCESS4_ACCESS,POSIX_RW_SWITCHES
tag,POSIX_ACCESS4_COUNT
POSIX_ACCESS4_COUNT,POSIX_ACCESS2_COUNT
POSIX_ACCESS4_COUNT,POSIX_ACCESS3_COUNT
POSIX_ACCESS4_COUNT,POSIX_FILE_NOT_ALIGNED
POSIX_ACCESS4_COUNT,POSIX_SEEKS
POSIX_ACCESS4_COUNT,POSIX_READS
POSIX_ACCESS4_COUNT,POSIX_SEQ_READS
POSIX_ACCESS4_COUNT,POSIX_CONSEC_READS
tag,POSIX_BYTES_READ
POSIX_BYTES_READ,POSIX_SIZE_READ_0_100
POSIX_BYTES_READ,POSIX_CONSEC_READS
POSIX_BYTES_READ,POSIX_SEQ_READS
POSIX_BYTES_READ,POSIX_READS
POSIX_BYTES_READ,POSIX_SIZE_READ_1K_10K
POSIX_BYTES_READ,POSIX_MEM_NOT_ALIGNED
POSIX_BYTES_READ,POSIX_SEEKS
tag,POSIX_BYTES_WRITTEN
POSIX_BYTES_WRITTEN,POSIX_WRITES
POSIX_BYTES_WRITTEN,POSIX_SEQ_WRITES
POSIX_BYTES_WRITTEN,POSIX_CONSEC_WRITES
POSIX_BYTES_WRITTEN,POSIX_SIZE_WRITE_0_100
POSIX_BYTES_WRITTEN,POSIX_FILE_NOT_ALIGNED
POSIX_BYTES_WRITTEN,POSIX_SIZE_WRITE_100_1K
POSIX_BYTES_WRITTEN,POSIX_OPENS
tag,POSIX_CONSEC_READS
POSIX_CONSEC_READS,POSIX_SEQ_READS
POSIX_CONSEC_READS,POSIX_READS
POSIX_CONSEC_READS,POSIX_SIZE_READ_0_100
POSIX_CONSEC_READS,POSIX_BYTES_READ
POSIX_CONSEC_READS,POSIX_MEM_NOT_ALIGNED
POSIX_CONSEC_READS,POSIX_SIZE_READ_1K_10K
POSIX_CONSEC_READS,POSIX_SEEKS
tag,POSIX_CONSEC_WRITES
POSIX_CONSEC_WRITES,POSIX_SEQ_WRITES
POSIX_CONSEC_WRITES,POSIX_WRITES
POSIX_CONSEC_WRITES,POSIX_FILE_NOT_ALIGNED
POSIX_CONSEC_WRITES,POSIX_SIZE_WRITE_0_100
POSIX_CONSEC_WRITES,POSIX_BYTES_WRITTEN
POSIX_CONSEC_WRITES,POSIX_SIZE_WRITE_100_1K
POSIX_CONSEC_WRITES,POSIX_ACCESS2_COUNT
tag,POSIX_FILENOS
POSIX_FILENOS,POSIX_OPENS
POSIX_FILENOS,POSIX_STATS
POSIX_FILENOS,POSIX_SIZE_WRITE_0_100
POSIX_FILENOS,POSIX_WRITES
POSIX_FILENOS,POSIX_SEQ_WRITES
POSIX_FILENOS,POSIX_CONSEC_WRITES
POSIX_FILENOS,POSIX_FILE_NOT_ALIGNED
tag,POSIX_FILE_ALIGNMENT
POSIX_FILE_ALIGNMENT,nprocs
POSIX_FILE_ALIGNMENT,POSIX_ACCESS3_COUNT
POSIX_FILE_ALIGNMENT,POSIX_STATS
POSIX_FILE_ALIGNMENT,POSIX_CONSEC_READS
POSIX_FILE_ALIGNMENT,POSIX_OPENS
POSIX_FILE_ALIGNMENT,POSIX_FILE_NOT_ALIGNED
