Attribute,Pearson_Correlation,Spearman_Correlation,Mutual_Information,Combined_Score
POSIX_BYTES_READ,0.9740236440103089,0.8824295801412687,0.8995680400846676,0.9186737547454151
POSIX_STRIDE1_STRIDE,0.9364592740229095,0.9997780567359502,0.7592430220608659,0.8984934509399084
POSIX_STRIDE3_COUNT,0.9971271659862786,0.9151354719240614,0.76492806129984,0.8923968997367266
POSIX_STRIDE2_STRIDE,0.93180982303886,0.9994903525047747,0.7400394174826849,0.8904465310087731
POSIX_STRIDE2_COUNT,1.0,0.9151354719240614,0.755284750354726,0.8901400740929292
POSIX_ACCESS4_ACCESS,0.8667933987735216,0.9820722745936072,0.8042386519943783,0.8843681084538356
POSIX_SIZE_READ_100K_1M,0.9401072248819827,0.9151272518031706,0.7795673759907003,0.8782672842252847
POSIX_STRIDE1_COUNT,0.9628412973561264,1.0000000000000002,0.6587023476915378,0.8738478816825549
POSIX_STRIDE4_COUNT,0.9485324990600064,0.9151354719240614,0.7262430434581368,0.8633036714807348
POSIX_ACCESS2_ACCESS,0.7812680762464086,0.82215537106454,0.9638084683096811,0.8557439718735432
POSIX_STRIDE4_STRIDE,0.917583777065707,0.9006598390354787,0.7058882891544489,0.8413773017518782
POSIX_STRIDE3_STRIDE,0.9013068943458818,0.8866691932794493,0.6744779031266065,0.8208179969173125
POSIX_ACCESS1_ACCESS,0.7257834867793977,0.7076554509633376,0.9311871072446737,0.7882086816624696
POSIX_ACCESS3_ACCESS,0.6801702695448393,0.76193501820725,0.8033392157090611,0.7484815011537167
LUSTRE_STRIPE_WIDTH,0.7249107452379477,0.786275900687482,0.5839733306568463,0.6983866588607587
POSIX_RW_SWITCHES,0.7866915530520748,0.5303342905444454,0.6364956348513204,0.6511738261492802
POSIX_SIZE_WRITE_10K_100K,0.6428062390473366,0.7320611312779618,0.20742294780458503,0.5274301060432945
POSIX_SIZE_WRITE_100K_1M,0.8052580914968271,0.6158515803160238,0.0,0.47370322393761705
POSIX_SIZE_WRITE_1K_10K,0.8052098054490451,0.6158515803160238,0.0,0.4736871285883563
POSIX_BYTES_WRITTEN,0.21088943227105839,0.28010604317861565,0.8916360344909908,0.4608771699802216
nprocs,0.23417148120065517,0.2489885376867599,0.8872889102657188,0.4568163097177113
POSIX_SIZE_READ_100_1K,0.14167012140235768,0.17038842350714162,0.9717364806377135,0.42793167518240427
POSIX_SEEKS,0.2396285445458745,0.1400858267515882,0.878135411571483,0.41928326095631524
POSIX_STATS,0.17692299729661887,0.08561753348728107,0.9330820033268349,0.3985408447035783
POSIX_ACCESS4_COUNT,0.09829469717633788,0.08801252689809763,0.9894361358984367,0.3919144533242907
POSIX_OPENS,0.16728041102459607,0.08466125613890896,0.9229915411242617,0.39164440276258894
POSIX_SIZE_READ_1K_10K,0.12358858890985491,0.09012718205698239,0.9486322426613805,0.3874493378760726
POSIX_WRITES,0.08718177115256881,0.10497460512759205,0.9621936763458838,0.3847833508753482
POSIX_SEQ_WRITES,0.0761925651588074,0.1021421679518158,0.971045428087367,0.3831267203993301
POSIX_CONSEC_WRITES,0.07262427203831867,0.08861116584469508,0.9697131880097,0.37698287529757124
POSIX_ACCESS3_COUNT,0.07071262815075469,0.07976363270709175,0.975804183775487,0.3754268148777778
POSIX_SEQ_READS,0.22482385171408112,0.08158987173634175,0.816845918372009,0.3744198806074773
POSIX_MEM_NOT_ALIGNED,0.08466994639290248,0.08127903437062639,0.9570025188535727,0.37431716653903385
POSIX_SIZE_WRITE_0_100,0.054854142540068596,0.06397132935458555,1.0,0.37294182396488473
POSIX_CONSEC_READS,0.1696161227016249,0.0,0.9420203030404749,0.37054547524736664
POSIX_READS,0.20256980716488204,0.08147133923502992,0.8246188357797885,0.3695533273932335
POSIX_SIZE_READ_0_100,0.04893130169046089,0.030920630462385745,0.9997413437043137,0.3598644252857201
POSIX_SIZE_WRITE_100_1K,0.0,0.07961808603775888,0.9774757300343222,0.35236460535736036
POSIX_ACCESS1_COUNT,0.039856868800468015,0.005593924578001064,0.975439406137947,0.3402967331721387
POSIX_ACCESS2_COUNT,0.06987806043258327,0.005094495839494395,0.891156596052851,0.32204305077497625
POSIX_FILE_NOT_ALIGNED,0.07992883119169153,0.022336869809818416,0.8540334177151914,0.31876637290556714
